PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
339,341,1552500,2,3,9,0,0,2,13,9
779,126,215510,3,1,122,0,0,4,6,9
781,118,2651301,3,0,44,0,0,2,3,9
101,344,1200001,2,0,44,0,0,2,21,9
439,109,1553501,3,0,50,0,0,3,10,9
101,344,1200001,2,4,103,0,0,2,12,9
268,121,1450502,3,2,66,0,0,6,2,9
705,358,1702000,2,4,115,0,0,5,13,9
922,348,511001,2,0,46,0,0,5,13,9
101,344,1200001,2,0,50,0,0,3,18,9
478,343,1651503,2,2,81,1,0,2,18,9
101,344,1200001,2,4,113,0,0,2,11,9
259,351,1450003,2,0,42,17,1,2,3,9
510,117,2200601,3,4,103,0,0,2,3,9
101,344,1200001,2,4,115,0,0,5,1,9
792,118,265031,3,0,46,0,0,5,8,9
339,341,1552500,2,4,108,1,0,5,11,9
114,344,1211100,2,2,70,0,0,5,3,9
259,351,1450001,2,4,110,0,0,5,3,9
244,107,1402000,3,3,14,0,0,3,10,9
718,340,1907801,2,3,17,0,1,4,6,9
849,677,0,1,2,77,1,0,4,6,9
268,121,1451000,3,2,77,0,0,2,11,9
101,344,1200001,2,4,114,0,0,2,17,9
106,106,1200800,3,2,60,0,0,2,12,9
101,344,1200001,2,4,115,0,0,2,20,9
503,117,2201601,3,2,60,0,1,4,5,9
681,233,2601001,2,4,109,0,0,5,10,9
244,107,1402000,3,1,120,0,0,4,4,9
441,110,1553008,3,2,88,0,0,2,3,9
490,232,1654000,2,0,44,0,0,3,20,9
478,343,1651503,2,2,72,1,0,5,5,9
439,109,1553004,3,0,45,0,1,2,6,9
494,111,1655000,3,0,40,0,0,5,16,9
792,118,265031,3,2,76,0,0,2,4,9
109,106,1200501,3,4,105,0,0,2,5,9
339,341,1552500,2,3,5,0,0,2,6,9
705,358,1702000,2,4,102,0,0,2,12,9
792,118,265031,3,3,5,0,0,5,9,9
339,341,1552500,2,2,61,0,0,4,3,9
969,881,51101,2,0,49,0,0,2,7,9
478,343,1651503,2,2,73,1,0,3,5,9
109,106,1200512,3,0,48,0,0,3,9,9
109,106,1200502,3,4,103,0,0,2,12,9
101,344,1200001,2,3,18,0,0,2,13,9
681,233,2601001,2,4,105,0,0,6,18,9
503,117,2201601,3,0,48,0,0,2,13,9
113,344,1201401,2,0,43,0,0,2,6,9
339,341,1552500,2,0,49,0,0,2,7,9
101,344,1200001,2,2,73,0,1,2,9,9
729,113,1702500,3,4,109,0,0,6,8,9
101,344,1200001,2,2,94,0,0,4,13,9
113,344,1201500,2,0,40,2,0,5,1,9
117,126,1202500,3,2,75,0,0,2,18,9
339,341,1552500,2,3,6,0,0,2,7,9
113,344,1201401,2,4,113,0,0,2,4,9
478,343,1651503,2,0,40,1,0,2,17,9
113,344,1201401,2,0,45,0,0,5,9,9
101,344,1200001,2,4,105,0,0,2,16,9
511,235,2200300,2,4,107,0,0,5,3,9
705,358,1702000,2,2,71,0,0,5,11,9
639,361,2403005,2,3,6,0,0,4,7,9
922,348,5110,2,0,40,0,0,3,5,9
114,344,12111,3,3,9,0,0,2,5,9
397,105,1601503,3,4,111,0,0,2,4,9
339,341,1552500,2,4,103,0,0,2,18,9
101,344,1200001,2,3,33,0,0,3,1,9
339,341,1552500,2,4,115,0,0,5,18,9
244,107,1402000,3,0,42,2,0,5,11,9
441,110,1553008,3,2,75,0,0,2,23,9
681,233,2601001,2,0,44,0,0,5,22,9
441,110,1553008,3,2,63,0,0,4,5,9
101,344,1200001,2,0,40,0,0,5,13,9
478,343,1651503,2,3,14,1,1,4,4,9
707,340,1902300,2,3,18,1,0,5,6,9
782,236,2650101,2,3,30,0,0,3,22,9
922,348,511001,2,2,76,0,0,2,4,9
244,107,1402000,3,2,83,0,0,2,11,9
244,107,1402000,3,4,115,0,0,0,12,9
117,126,1202500,3,1,120,0,0,2,11,9
109,106,1200502,3,4,101,0,1,6,3,9
759,359,1950500,2,2,84,0,1,2,10,9
750,359,2053000,2,2,83,1,0,2,11,9
681,233,2601001,2,3,32,0,1,2,6,9
339,341,1552500,2,4,106,0,0,2,3,9
494,111,1654502,3,4,103,0,0,4,9,9
109,106,1200501,3,3,32,2,0,2,7,9
792,118,265031,3,0,52,0,0,2,8,9
779,126,215510,3,4,101,0,0,2,9,9
729,113,1657200,3,3,14,0,0,2,12,9
792,118,265031,3,2,60,0,0,2,2,9
779,126,215510,3,4,110,0,0,2,16,9
259,351,1450001,2,4,102,0,0,6,4,9
397,105,1601501,3,0,43,0,0,5,14,9
779,126,215510,3,4,105,0,0,2,10,9
439,109,1553001,3,3,13,0,0,2,4,9
